site,month,calendar_days,k_mcar,k_block_1,k_block_2,k_weekday_heavy,k_weekend_heavy,k_markov,recommended_k,threshold_status,operational_status
001-0183,1,31,14,15,15,16,21,15,16,certified,complete_exact
001-0183,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
001-0183,3,31,10,14,11,10,15,11,14,certified,incomplete_requires_prediction
001-0183,4,30,9,8,10,11,20,10,11,certified,incomplete_requires_prediction
001-0183,5,31,9,12,12,11,12,10,12,certified,complete_exact
001-0183,6,30,6,6,7,9,10,6,9,certified,complete_exact
001-0183,7,31,12,14,13,15,20,13,15,certified,complete_exact
001-0183,8,31,6,7,10,7,13,7,10,certified,complete_exact
001-0183,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
001-0183,10,31,5,7,7,11,7,6,11,certified,complete_exact
001-0183,11,30,10,15,12,11,18,12,15,certified,complete_exact
001-0183,12,31,13,14,12,13,15,14,14,certified,incomplete_requires_prediction
001-0185,1,31,26,27,27,25,28,27,27,certified,complete_exact
001-0185,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
001-0185,3,31,20,22,24,20,28,23,24,certified,complete_exact
001-0185,4,30,23,24,25,24,27,24,25,certified,complete_exact
001-0185,5,31,25,27,27,25,28,26,27,certified,complete_exact
001-0185,6,30,19,15,14,16,26,21,21,certified,complete_exact
001-0185,7,31,22,22,24,22,26,23,24,certified,complete_exact
001-0185,8,31,19,14,15,16,26,19,19,certified,incomplete_requires_prediction
001-0185,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
001-0185,10,31,21,22,24,21,27,23,24,certified,complete_exact
001-0185,11,30,19,22,22,19,25,21,22,certified,complete_exact
001-0185,12,31,23,25,26,22,26,24,26,certified,complete_exact
003-0132,1,31,14,15,15,16,21,15,16,certified,complete_exact
003-0132,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
003-0132,3,31,8,12,10,8,12,10,12,certified,complete_exact
003-0132,4,30,6,7,9,9,11,7,9,certified,complete_exact
003-0132,5,31,9,12,12,11,12,10,12,certified,incomplete_requires_prediction
003-0132,6,30,6,6,8,9,14,7,9,certified,complete_exact
003-0132,7,31,13,15,14,15,20,15,15,certified,complete_exact
003-0132,8,31,6,7,10,7,13,8,10,certified,complete_exact
003-0132,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
003-0132,10,31,5,7,7,11,7,6,11,certified,complete_exact
003-0132,11,30,11,15,13,11,19,13,15,certified,complete_exact
003-0132,12,31,13,14,12,13,15,14,14,certified,complete_exact
003-0138,1,31,14,15,15,16,21,15,16,certified,complete_exact
003-0138,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
003-0138,3,31,8,12,10,8,12,10,12,certified,complete_exact
003-0138,4,30,7,7,9,9,11,7,9,certified,complete_exact
003-0138,5,31,9,12,12,11,12,10,12,certified,complete_exact
003-0138,6,30,6,6,8,9,14,7,9,certified,complete_exact
003-0138,7,31,13,15,14,15,20,15,15,certified,complete_exact
003-0138,8,31,6,7,10,7,13,8,10,certified,incomplete_requires_prediction
003-0138,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
003-0138,10,31,5,7,7,11,7,6,11,certified,complete_exact
003-0138,11,30,11,15,13,11,19,13,15,certified,complete_exact
003-0138,12,31,13,14,12,13,15,14,14,certified,complete_exact
005-0125,1,31,14,15,15,16,21,15,16,certified,complete_exact
005-0125,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
005-0125,3,31,8,12,10,8,12,10,12,certified,complete_exact
005-0125,4,30,7,7,9,9,11,7,9,certified,complete_exact
005-0125,5,31,9,12,12,11,12,10,12,certified,complete_exact
005-0125,6,30,6,6,8,9,14,7,9,certified,complete_exact
005-0125,7,31,16,15,15,18,22,17,18,certified,complete_exact
005-0125,8,31,6,7,10,7,13,8,10,certified,complete_exact
005-0125,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
005-0125,10,31,9,10,11,12,21,10,12,certified,complete_exact
005-0125,11,30,8,8,10,9,9,9,10,certified,complete_exact
005-0125,12,31,13,14,12,13,15,14,14,certified,complete_exact
009-0156,1,31,15,15,15,16,18,16,16,certified,complete_exact
009-0156,2,29,6,6,8,8,10,6,8,certified_calendar_sensitivity,complete_exact
009-0156,3,31,10,14,11,11,15,11,14,certified,complete_exact
009-0156,4,30,9,8,10,11,20,10,11,certified,complete_exact
009-0156,5,31,9,12,12,11,12,10,12,certified,complete_exact
009-0156,6,30,6,6,8,9,14,7,9,certified,complete_exact
009-0156,7,31,13,15,14,15,20,15,15,certified,complete_exact
009-0156,8,31,4,7,5,6,4,5,7,certified,complete_exact
009-0156,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
009-0156,10,31,5,7,7,11,7,6,11,certified,complete_exact
009-0156,11,30,11,15,13,11,19,13,15,certified,complete_exact
009-0156,12,31,13,19,14,14,13,15,19,certified,complete_exact
013-0036,1,31,15,15,15,16,17,16,16,certified,complete_exact
013-0036,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
013-0036,3,31,7,10,10,8,8,8,10,certified,complete_exact
013-0036,4,30,8,13,12,11,20,10,13,certified,complete_exact
013-0036,5,31,9,12,12,11,12,10,12,certified,complete_exact
013-0036,6,30,5,5,5,7,5,5,7,certified,complete_exact
013-0036,7,31,11,10,10,12,13,12,12,certified,complete_exact
013-0036,8,31,4,7,5,6,4,5,7,certified,complete_exact
013-0036,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
013-0036,10,31,5,7,7,11,7,6,11,certified,complete_exact
013-0036,11,30,7,9,9,9,8,8,9,certified,complete_exact
013-0036,12,31,13,19,14,14,13,15,19,certified,complete_exact
015-0178,1,31,14,15,15,16,21,15,16,certified,complete_exact
015-0178,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
015-0178,3,31,7,10,9,8,8,8,10,certified,complete_exact
015-0178,4,30,8,13,12,11,20,10,13,certified,complete_exact
015-0178,5,31,9,12,12,11,12,10,12,certified,complete_exact
015-0178,6,30,4,4,4,6,5,5,6,certified,complete_exact
015-0178,7,31,11,10,10,12,12,11,12,certified,complete_exact
015-0178,8,31,4,7,5,6,3,5,7,certified,complete_exact
015-0178,9,30,5,8,9,6,4,6,9,certified,incomplete_requires_prediction
015-0178,10,31,5,7,7,11,7,6,11,certified,complete_exact
015-0178,11,30,7,9,9,9,8,8,9,certified,complete_exact
015-0178,12,31,13,19,14,14,12,15,19,certified,complete_exact
015-0276,1,31,17,18,18,17,23,18,18,certified,incomplete_requires_prediction
015-0276,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
015-0276,3,31,6,8,8,7,14,7,8,certified,complete_exact
015-0276,4,30,6,10,6,9,9,8,10,certified,complete_exact
015-0276,5,31,7,10,11,10,11,8,11,certified,complete_exact
015-0276,6,30,5,3,4,6,7,5,6,certified,complete_exact
015-0276,7,31,10,11,11,12,17,11,12,certified,complete_exact
015-0276,8,31,3,3,4,5,3,3,5,certified,complete_exact
015-0276,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
015-0276,10,31,5,10,6,8,6,6,10,certified,complete_exact
015-0276,11,30,9,13,11,9,12,10,13,certified,complete_exact
015-0276,12,31,25,27,27,25,25,26,27,certified,complete_exact
017-0143,1,31,14,15,15,16,21,15,16,certified,complete_exact
017-0143,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
017-0143,3,31,8,12,10,8,12,10,12,certified,complete_exact
017-0143,4,30,9,8,10,11,20,10,11,certified,complete_exact
017-0143,5,31,9,12,12,11,12,10,12,certified,complete_exact
017-0143,6,30,6,6,8,9,14,7,9,certified,complete_exact
017-0143,7,31,11,10,10,12,13,12,12,certified,complete_exact
017-0143,8,31,6,7,10,7,13,8,10,certified,complete_exact
017-0143,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
017-0143,10,31,5,7,7,11,7,6,11,certified,complete_exact
017-0143,11,30,11,15,13,11,19,13,15,certified,complete_exact
017-0143,12,31,13,14,12,13,15,14,14,certified,complete_exact
021-0116,1,31,15,15,15,16,18,16,16,certified,complete_exact
021-0116,2,29,6,6,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
021-0116,3,31,7,10,10,8,8,8,10,certified,complete_exact
021-0116,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0116,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0116,6,30,5,5,5,7,5,5,7,certified,complete_exact
021-0116,7,31,11,10,10,12,13,12,12,certified,complete_exact
021-0116,8,31,4,7,5,6,4,5,7,certified,complete_exact
021-0116,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0116,10,31,5,7,7,11,7,6,11,certified,complete_exact
021-0116,11,30,11,15,13,11,19,13,15,certified,complete_exact
021-0116,12,31,13,19,14,14,13,15,19,certified,complete_exact
021-0132,1,31,15,15,15,16,18,16,16,certified,complete_exact
021-0132,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
021-0132,3,31,10,14,11,11,15,11,14,certified,complete_exact
021-0132,4,30,9,8,10,11,20,10,11,certified,complete_exact
021-0132,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0132,6,30,6,6,8,9,14,7,9,certified,complete_exact
021-0132,7,31,13,15,14,15,20,15,15,certified,complete_exact
021-0132,8,31,4,7,5,6,4,5,7,certified,incomplete_requires_prediction
021-0132,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0132,10,31,5,7,7,11,7,6,11,certified,complete_exact
021-0132,11,30,11,15,13,11,19,13,15,certified,complete_exact
021-0132,12,31,13,19,14,14,13,15,19,certified,complete_exact
021-0158,1,31,14,15,15,16,21,15,16,certified,no_target_record
021-0158,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,no_target_record
021-0158,3,31,7,10,10,8,8,8,10,certified,incomplete_requires_prediction
021-0158,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0158,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0158,6,30,5,5,5,7,5,5,7,certified,complete_exact
021-0158,7,31,11,10,10,12,13,12,12,certified,complete_exact
021-0158,8,31,4,7,5,6,4,5,7,certified,incomplete_requires_prediction
021-0158,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0158,10,31,9,10,11,12,21,10,12,certified,complete_exact
021-0158,11,30,7,9,9,9,8,8,9,certified,complete_exact
021-0158,12,31,12,17,13,13,11,14,17,certified,complete_exact
021-0258,1,31,14,15,15,16,21,15,16,certified,no_target_record
021-0258,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,no_target_record
021-0258,3,31,7,10,10,8,8,8,10,certified,incomplete_requires_prediction
021-0258,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0258,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0258,6,30,5,5,5,7,5,5,7,certified,complete_exact
021-0258,7,31,11,10,10,12,13,12,12,certified,complete_exact
021-0258,8,31,4,7,5,6,4,5,7,certified,complete_exact
021-0258,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0258,10,31,9,10,11,12,21,10,12,certified,complete_exact
021-0258,11,30,7,9,9,9,8,8,9,certified,complete_exact
021-0258,12,31,12,17,13,13,11,14,17,certified,complete_exact
021-0267,1,31,15,15,15,16,18,16,16,certified,complete_exact
021-0267,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
021-0267,3,31,10,14,11,11,15,11,14,certified,complete_exact
021-0267,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0267,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0267,6,30,6,6,8,9,14,7,9,certified,complete_exact
021-0267,7,31,13,15,14,15,20,15,15,certified,complete_exact
021-0267,8,31,4,7,5,6,4,5,7,certified,complete_exact
021-0267,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0267,10,31,5,7,7,11,7,6,11,certified,complete_exact
021-0267,11,30,11,15,13,11,19,13,15,certified,complete_exact
021-0267,12,31,13,19,14,14,13,15,19,certified,complete_exact
021-0334,1,31,17,18,18,17,23,18,18,certified,complete_exact
021-0334,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
021-0334,3,31,6,8,8,7,16,7,8,certified,complete_exact
021-0334,4,30,6,10,8,10,9,8,10,certified,complete_exact
021-0334,5,31,7,10,11,10,12,8,11,certified,complete_exact
021-0334,6,30,5,3,4,7,9,6,7,certified,complete_exact
021-0334,7,31,10,12,11,13,18,11,13,certified,complete_exact
021-0334,8,31,3,3,4,5,3,3,5,certified,complete_exact
021-0334,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
021-0334,10,31,5,10,6,10,6,6,10,certified,complete_exact
021-0334,11,30,9,15,12,10,14,11,15,certified,complete_exact
021-0334,12,31,12,19,12,13,15,14,19,certified,complete_exact
021-0356,1,31,18,15,16,18,18,19,19,certified,complete_exact
021-0356,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
021-0356,3,31,6,8,8,7,16,7,8,certified,complete_exact
021-0356,4,30,6,10,8,10,9,8,10,certified,complete_exact
021-0356,5,31,7,10,11,10,12,8,11,certified,complete_exact
021-0356,6,30,5,4,5,7,9,6,7,certified,complete_exact
021-0356,7,31,10,12,11,13,19,12,13,certified,incomplete_requires_prediction
021-0356,8,31,3,3,4,5,3,3,5,certified,complete_exact
021-0356,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
021-0356,10,31,5,10,6,10,6,6,10,certified,complete_exact
021-0356,11,30,13,20,16,14,21,15,20,certified,complete_exact
021-0356,12,31,12,19,12,13,15,14,19,certified,complete_exact
021-0376,1,31,23,23,26,22,27,26,26,certified,complete_exact
021-0376,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
021-0376,3,31,7,8,8,10,22,8,10,certified,complete_exact
021-0376,4,30,19,22,21,19,25,21,22,certified,incomplete_requires_prediction
021-0376,5,31,7,10,11,10,12,8,11,certified,no_target_record
021-0376,6,30,5,4,5,7,9,6,7,certified,no_target_record
021-0376,7,31,13,14,12,15,20,14,15,certified,no_target_record
021-0376,8,31,8,10,10,8,15,9,10,certified,no_target_record
021-0376,9,30,14,13,15,14,16,15,15,certified,no_target_record
021-0376,10,31,6,13,10,10,6,7,13,certified,no_target_record
021-0376,11,30,17,23,19,16,22,20,23,certified,no_target_record
021-0376,12,31,25,27,27,25,25,26,27,certified,no_target_record
021-0378,1,31,23,23,26,22,27,26,26,certified,complete_exact
021-0378,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
021-0378,3,31,6,8,8,7,14,7,8,certified,complete_exact
021-0378,4,30,6,10,6,9,8,7,10,certified,complete_exact
021-0378,5,31,7,10,11,10,12,8,11,certified,complete_exact
021-0378,6,30,5,4,5,7,9,6,7,certified,complete_exact
021-0378,7,31,10,11,11,13,19,11,13,certified,incomplete_requires_prediction
021-0378,8,31,3,3,4,5,3,3,5,certified,incomplete_requires_prediction
021-0378,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
021-0378,10,31,5,10,6,8,6,6,10,certified,incomplete_requires_prediction
021-0378,11,30,17,23,19,16,22,20,23,certified,complete_exact
021-0378,12,31,25,27,27,25,25,26,27,certified,complete_exact
021-0541,1,31,15,15,15,16,18,16,16,certified,complete_exact
021-0541,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,incomplete_requires_prediction
021-0541,3,31,7,10,10,8,8,8,10,certified,complete_exact
021-0541,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0541,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0541,6,30,5,5,5,7,5,5,7,certified,complete_exact
021-0541,7,31,11,10,10,12,13,12,12,certified,incomplete_requires_prediction
021-0541,8,31,4,7,5,6,4,5,7,certified,complete_exact
021-0541,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0541,10,31,5,7,7,11,7,6,11,certified,complete_exact
021-0541,11,30,7,9,9,9,8,8,9,certified,complete_exact
021-0541,12,31,13,19,14,14,13,15,19,certified,complete_exact
021-0587,1,31,15,15,15,16,18,16,16,certified,complete_exact
021-0587,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
021-0587,3,31,10,14,11,11,15,11,14,certified,complete_exact
021-0587,4,30,8,13,12,11,20,10,13,certified,complete_exact
021-0587,5,31,9,12,12,11,12,10,12,certified,complete_exact
021-0587,6,30,6,6,8,9,14,7,9,certified,complete_exact
021-0587,7,31,13,15,14,15,20,15,15,certified,complete_exact
021-0587,8,31,4,7,5,6,4,5,7,certified,complete_exact
021-0587,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
021-0587,10,31,5,7,7,11,7,6,11,certified,complete_exact
021-0587,11,30,11,15,13,11,19,13,15,certified,complete_exact
021-0587,12,31,13,19,14,14,13,15,19,certified,complete_exact
021-w334,1,31,17,18,18,17,23,18,18,certified,complete_exact
021-w334,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
021-w334,3,31,6,8,8,7,16,7,8,certified,complete_exact
021-w334,4,30,6,10,8,10,9,8,10,certified,complete_exact
021-w334,5,31,7,10,11,10,12,8,11,certified,complete_exact
021-w334,6,30,5,4,5,7,9,6,7,certified,complete_exact
021-w334,7,31,10,12,11,13,19,11,13,certified,complete_exact
021-w334,8,31,3,3,4,5,3,3,5,certified,complete_exact
021-w334,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
021-w334,10,31,5,10,6,10,6,6,10,certified,complete_exact
021-w334,11,30,9,15,12,10,14,11,15,certified,complete_exact
021-w334,12,31,12,19,12,13,15,14,19,certified,complete_exact
023-0152,1,31,15,15,15,16,18,16,16,certified,complete_exact
023-0152,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
023-0152,3,31,7,10,10,8,8,8,10,certified,complete_exact
023-0152,4,30,8,13,12,11,20,10,13,certified,complete_exact
023-0152,5,31,9,12,12,11,12,10,12,certified,complete_exact
023-0152,6,30,4,5,5,6,5,5,6,certified,complete_exact
023-0152,7,31,11,10,10,12,13,11,12,certified,complete_exact
023-0152,8,31,4,6,5,6,3,4,6,certified,complete_exact
023-0152,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
023-0152,10,31,5,7,7,11,7,6,11,certified,complete_exact
023-0152,11,30,7,9,9,9,8,8,9,certified,complete_exact
023-0152,12,31,13,19,14,14,13,15,19,certified,complete_exact
025-0163,1,31,14,15,15,16,21,15,16,certified,complete_exact
025-0163,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
025-0163,3,31,7,10,10,8,8,8,10,certified,complete_exact
025-0163,4,30,7,7,9,9,11,7,9,certified,complete_exact
025-0163,5,31,9,12,12,11,12,10,12,certified,complete_exact
025-0163,6,30,6,6,8,9,14,7,9,certified,complete_exact
025-0163,7,31,16,15,15,18,22,17,18,certified,complete_exact
025-0163,8,31,6,7,10,7,13,8,10,certified,complete_exact
025-0163,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
025-0163,10,31,9,10,11,12,21,10,12,certified,complete_exact
025-0163,11,30,8,8,10,9,9,9,10,certified,complete_exact
025-0163,12,31,13,14,12,13,15,14,14,certified,complete_exact
029-0103,1,31,14,15,15,16,21,15,16,certified,complete_exact
029-0103,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
029-0103,3,31,8,12,10,8,12,10,12,certified,complete_exact
029-0103,4,30,7,7,9,9,11,7,9,certified,complete_exact
029-0103,5,31,9,12,12,11,12,10,12,certified,complete_exact
029-0103,6,30,6,6,8,9,14,7,9,certified,complete_exact
029-0103,7,31,16,15,15,18,22,17,18,certified,complete_exact
029-0103,8,31,6,7,10,7,13,8,10,certified,complete_exact
029-0103,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
029-0103,10,31,9,10,11,12,21,10,12,certified,complete_exact
029-0103,11,30,8,8,10,9,9,9,10,certified,complete_exact
029-0103,12,31,13,14,12,13,15,14,14,certified,complete_exact
029-0178,1,31,14,15,15,16,21,15,16,certified,complete_exact
029-0178,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
029-0178,3,31,8,12,10,8,12,10,12,certified,complete_exact
029-0178,4,30,6,7,9,9,11,7,9,certified,complete_exact
029-0178,5,31,9,12,12,11,12,10,12,certified,complete_exact
029-0178,6,30,6,6,8,9,14,7,9,certified,complete_exact
029-0178,7,31,16,15,15,18,22,17,18,certified,complete_exact
029-0178,8,31,6,7,10,7,13,8,10,certified,incomplete_requires_prediction
029-0178,9,30,16,16,17,16,20,18,18,certified,incomplete_requires_prediction
029-0178,10,31,9,10,11,12,21,10,12,certified,complete_exact
029-0178,11,30,8,8,10,9,9,9,10,certified,complete_exact
029-0178,12,31,13,14,12,13,15,14,14,certified,complete_exact
029-0189,1,31,23,23,26,22,27,26,26,certified,complete_exact
029-0189,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
029-0189,3,31,7,8,7,8,20,7,8,certified,complete_exact
029-0189,4,30,19,22,21,19,25,21,22,certified,complete_exact
029-0189,5,31,7,10,11,10,12,8,11,certified,complete_exact
029-0189,6,30,5,4,5,7,9,6,7,certified,complete_exact
029-0189,7,31,13,14,12,15,20,14,15,certified,complete_exact
029-0189,8,31,8,10,10,8,15,9,10,certified,incomplete_requires_prediction
029-0189,9,30,14,13,14,14,16,15,15,certified,incomplete_requires_prediction
029-0189,10,31,6,13,10,10,6,7,13,certified,complete_exact
029-0189,11,30,13,20,16,12,21,15,20,certified,complete_exact
029-0189,12,31,25,27,27,25,25,26,27,certified,complete_exact
031-0187,1,31,14,15,15,16,21,15,16,certified,complete_exact
031-0187,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
031-0187,3,31,8,12,10,8,12,10,12,certified,complete_exact
031-0187,4,30,7,7,9,9,11,7,9,certified,complete_exact
031-0187,5,31,9,12,12,11,12,10,12,certified,complete_exact
031-0187,6,30,6,6,8,9,14,7,9,certified,complete_exact
031-0187,7,31,16,15,15,18,22,17,18,certified,complete_exact
031-0187,8,31,6,7,9,7,13,7,9,certified,complete_exact
031-0187,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
031-0187,10,31,9,10,11,12,21,10,12,certified,complete_exact
031-0187,11,30,8,8,10,9,9,9,10,certified,complete_exact
031-0187,12,31,13,14,12,13,15,14,14,certified,complete_exact
035-0127,1,31,23,23,26,22,27,26,26,certified,complete_exact
035-0127,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
035-0127,3,31,6,8,8,7,14,7,8,certified,complete_exact
035-0127,4,30,19,22,21,19,25,21,22,certified,complete_exact
035-0127,5,31,7,10,11,10,12,8,11,certified,complete_exact
035-0127,6,30,5,4,5,7,9,6,7,certified,complete_exact
035-0127,7,31,13,14,12,15,20,14,15,certified,complete_exact
035-0127,8,31,8,10,10,8,15,9,10,certified,complete_exact
035-0127,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
035-0127,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
035-0127,11,30,17,23,19,16,22,19,23,certified,complete_exact
035-0127,12,31,25,27,27,25,25,26,27,certified,complete_exact
039-0145,1,31,14,15,15,16,21,15,16,certified,complete_exact
039-0145,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
039-0145,3,31,8,12,10,8,12,10,12,certified,complete_exact
039-0145,4,30,7,7,9,9,11,7,9,certified,complete_exact
039-0145,5,31,9,12,12,11,12,10,12,certified,complete_exact
039-0145,6,30,6,6,8,9,14,7,9,certified,complete_exact
039-0145,7,31,16,15,15,18,22,17,18,certified,incomplete_requires_prediction
039-0145,8,31,6,7,10,7,13,8,10,certified,complete_exact
039-0145,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
039-0145,10,31,9,10,11,12,21,10,12,certified,complete_exact
039-0145,11,30,8,8,10,9,9,9,10,certified,complete_exact
039-0145,12,31,13,14,12,13,15,14,14,certified,complete_exact
039-0218,1,31,23,23,26,22,27,26,26,certified,complete_exact
039-0218,2,29,12,18,11,13,21,16,18,certified_calendar_sensitivity,complete_exact
039-0218,3,31,7,8,7,8,20,7,8,certified,complete_exact
039-0218,4,30,19,22,21,19,25,21,22,certified,complete_exact
039-0218,5,31,7,10,11,10,12,8,11,certified,complete_exact
039-0218,6,30,5,4,5,7,8,6,7,certified,complete_exact
039-0218,7,31,11,12,11,13,19,12,13,certified,complete_exact
039-0218,8,31,7,10,10,8,15,9,10,certified,complete_exact
039-0218,9,30,13,11,14,14,15,15,15,certified,incomplete_requires_prediction
039-0218,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
039-0218,11,30,12,20,15,11,21,14,20,certified,complete_exact
039-0218,12,31,11,16,6,12,14,13,16,certified,complete_exact
039-0228,1,31,22,23,26,22,27,25,26,certified,incomplete_requires_prediction
039-0228,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
039-0228,3,31,7,8,8,10,22,8,10,certified,complete_exact
039-0228,4,30,19,22,21,19,25,21,22,certified,complete_exact
039-0228,5,31,7,10,11,10,12,8,11,certified,complete_exact
039-0228,6,30,5,4,5,7,9,6,7,certified,complete_exact
039-0228,7,31,13,14,12,15,20,14,15,certified,complete_exact
039-0228,8,31,8,10,10,8,15,9,10,certified,incomplete_requires_prediction
039-0228,9,30,13,12,14,14,15,15,15,certified,complete_exact
039-0228,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
039-0228,11,30,17,23,19,16,22,19,23,certified,incomplete_requires_prediction
039-0228,12,31,24,27,26,24,24,25,27,certified,complete_exact
043-0163,1,31,23,23,26,22,27,26,26,certified,complete_exact
043-0163,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,incomplete_requires_prediction
043-0163,3,31,7,8,8,10,22,8,10,certified,complete_exact
043-0163,4,30,19,22,21,19,25,21,22,certified,complete_exact
043-0163,5,31,7,10,11,10,12,8,11,certified,complete_exact
043-0163,6,30,5,4,5,7,9,6,7,certified,complete_exact
043-0163,7,31,13,14,12,15,20,14,15,certified,complete_exact
043-0163,8,31,8,10,10,8,15,9,10,certified,incomplete_requires_prediction
043-0163,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
043-0163,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
043-0163,11,30,17,23,19,16,22,19,23,certified,complete_exact
043-0163,12,31,25,27,27,25,25,26,27,certified,complete_exact
047-0114,1,31,18,15,16,18,18,19,19,certified,complete_exact
047-0114,2,29,6,7,8,8,11,7,8,certified_calendar_sensitivity,complete_exact
047-0114,3,31,6,8,8,7,16,7,8,certified,complete_exact
047-0114,4,30,6,10,7,10,9,8,10,certified,complete_exact
047-0114,5,31,7,10,11,10,12,8,11,certified,complete_exact
047-0114,6,30,5,4,5,7,9,6,7,certified,complete_exact
047-0114,7,31,13,14,12,15,20,14,15,certified,complete_exact
047-0114,8,31,3,3,4,5,3,3,5,certified,complete_exact
047-0114,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
047-0114,10,31,5,10,6,10,6,6,10,certified,complete_exact
047-0114,11,30,9,15,12,10,14,11,15,certified,complete_exact
047-0114,12,31,25,27,27,25,25,26,27,certified,complete_exact
051-0107,1,31,25,26,26,25,28,26,26,certified,complete_exact
051-0107,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
051-0107,3,31,20,22,24,20,28,23,24,certified,complete_exact
051-0107,4,30,23,24,25,24,27,24,25,certified,complete_exact
